"tree.names","ml.names","D0","D1","D2","anc0","anc1","anc2","PC2","PC3","PC4","PC5","PC6","PC7"
"Esox_americanus_americanus","Esox americanus",758.602972086145,436.530767106782,96.9618057419007,1,1,1,-0.37025902546644,-0.385261942263354,0.466716381408248,0.0710974038867489,-0.282194631951116,0.0692865787720987
"Gambusia_affinis","Gambusia affinis",644.089799394816,796.113502192305,265.599644351665,1,1,2,0.685565515062967,0.18383763084607,-0.40943660600366,0.171723746354075,0.18612442911723,-0.0693360403689274
"Lepomis_auritus","Lepomis auritus",1107.7229336018,505.963867779764,116.908046602187,1,1,2,-0.229464894218273,0.0677338804714625,-0.370003380601362,-0.423337813883077,0.14563231893542,-0.212873684213942
"Lepomis_cyanellus","Lepomis cyanellus",786.963480578107,594.710556476635,166.017374712027,1,1,2,-0.114136831844895,-0.245270391278109,-0.430641288021101,-0.354877900103575,0.171216457383514,-0.112448269832205
"Lepomis_gibbosus","Lepomis gibbosus",880.412338360654,411.805400154638,136.035447896942,1,1,2,-0.157489636193957,0.377388489199631,-0.460414809839009,-0.404456455837957,0.134233908038865,-0.079801147968989
"Lepomis_gulosus","Lepomis gulosus",609.302547929069,595.798534289616,120.688870706488,1,1,2,-0.214462318915621,-0.0659239210451441,-0.0313912923954218,-0.334040383246329,0.232605055892473,-0.0980770011052311
"Lepomis_humilis","Lepomis humilis",920.567015165983,661.575296217163,249.145415962899,1,1,2,-0.0347796435349101,0.147561246160494,-0.43687697576216,-0.421534001506051,0.187288300579608,-0.103144212985462
"Lepomis_macrochirus","Lepomis macrochirus",967.457933650218,938.912679307355,312.147703617635,1,1,2,0.412482361789863,0.0960803359462048,-0.48090668338441,-0.462204111542184,0.126252999436513,-0.0332097010666382
"Lepomis_megalotis","Lepomis megalotis",1289.37288110846,505.514967447062,104.292408463427,1,1,2,-0.179713018513853,0.121396415373928,-0.444341460927618,-0.50258218927379,0.155707232899107,-0.183947232028226
"Lepomis_microlophus","Lepomis microlophus",805.371750973777,197.640932729926,105.730901457749,1,1,3,-0.140486714540983,0.326175954083529,-0.368179879120872,-0.360780715030925,0.204567460681477,-0.0979635818119079
"Morone_chrysops","Morone chrysops",343.961692074639,109.309637567411,84.7023950907753,1,1,3,-0.166234419199867,0.182878369085379,-0.0341879174927613,-0.0778654838892864,0.269786584105134,-0.0352462019282671
"Morone_mississippiensis","Morone mississippiensis",176.400374759677,451.186985996581,91.7240128705295,1,2,4,0.0215266082876234,-0.274045209144504,-0.21168482534951,-0.109605961429477,0.110439380429386,0.0408008129042159
"Alosa_chrysochloris","Alosa chrysochloris",453.377496985856,714.251700492723,313.767684392008,2,3,5,-0.00519647054918426,0.390132276228272,0.548593420498059,-0.0791616456431931,0.0278663265933857,0.0606514370894409
"Carassius_carassius","Carassius auratus",721.497367837726,121.312697476021,28.050813943975,2,3,5,0.208549649600168,0.623233389831747,-0.161606984684771,-0.274322287502889,0.246199184862423,0.0138189650958141
"Cyprinus_carpio","Cyprinus carpio",153.432982862734,541.965742587581,328.999437083409,2,3,5,0.0627092782818751,0.369942143137581,-0.200679655877521,-0.0122878293260322,0.084319768745813,-0.020668878231955
"Notropis_atherinoides","Notropis atherinoides",562.114294177879,153.923449281413,200.106481422916,2,3,5,0.908085748920658,0.277158558957676,0.287441563971158,0.116009048791206,-0.144050218793405,-0.0175836371590942
"Notropis_blennius","Notropis blennius",204.412456627127,541.148647177109,107.27110470479,2,3,5,0.552893820367866,0.288045303852271,-0.0855970947051928,0.0426369383399472,-0.0914556103131885,-0.00321016028003685
"Notropis_boops","Notropis boops",529.431434214599,376.878183759834,138.93140732693,2,3,5,0.73391539671966,0.196319692182103,0.368575319909414,-0.0264345607144273,-0.198704618557092,-0.00210113606125496
"Notropis_buccatus","Notropis buccatus",439.151865155202,153.202201384388,52.0988866194435,2,3,5,0.761303670967172,0.0426660324073013,-0.122251165287176,0.013712956173052,-0.221284580608055,0.0233382884878699
"Notropis_buchanani","Notropis buchanani",175.998827894394,139.153418676472,179.404908999094,2,3,5,0.609656253789319,-0.113138058674438,0.00744814338373795,0.0712370513221655,-0.0524320306690797,0.0170908496176091
"Notropis_dorsalis","Notropis dorsalis",171.927974847629,126.935536093034,202.875096153705,2,3,5,0.0507561966086711,0.121527637695332,-0.0913569676704001,0.0748699013477644,-0.183257862353629,-0.031825295593752
"Notropis_hudsonius","Notropis hudsonius",169.265284453038,305.481885429722,294.497844534924,2,3,5,0.310179312911481,0.284713899666881,-0.130739966142984,0.0265560482331888,-0.0955346064847243,0.0672892277332596
"Notropis_leuciodus","Notropis leuciodus",341.312487755881,437.377491188435,250.778935493717,2,3,5,0.757010542725554,-0.0377491152984651,0.0516782512551072,0.110021750324407,-0.147547822815402,0.0138718384365818
"Notropis_nubilus","Notropis nubilus",456.312927334731,458.918169956784,191.835941198206,2,3,5,0.841745169457852,0.358746431821038,0.179868947964139,-0.0176459619638182,-0.104523985153285,0.0707780174553189
"Notropis_rubellus","Notropis percobromus",464.766127400286,437.313476624576,207.697772500173,2,3,5,0.67526334010492,0.0953240628025241,0.273754055217498,0.102194862838976,-0.206191424757604,0.0414475619690391
"Notropis_stramineus","Notropis stramineus",489.335357402366,320.953521894979,63.9977909682658,2,3,5,0.944591578403281,-0.0410507716065815,-0.0255565002839736,0.00995082350804369,-0.177425720549914,-0.0443133193784961
"Notropis_telescopus","Notropis telescopus",319.028942275051,376.870999245806,190.310054073328,2,3,5,0.337775482676309,0.260997712708629,0.200954006947483,0.00178641131349294,-0.203719085607559,0.0676460499993161
"Notropis_texanus","Notropis texanus",404.59688074675,183.405863062329,85.098050704761,2,3,5,0.932804408105267,-0.0149407531606646,0.099869114123372,0.0425722348530901,-0.105746270682771,0.0383150318343347
