,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,5.014969706535339355e-01,9.205353260040283203e-01,8.861629366874694824e-01,8.425685167312622070e-01,8.552561402320861816e-01,8.312923908233642578e-01,8.554359078407287598e-01,9.541408419609069824e-01,9.509925842285156250e-01,9.893411397933959961e-01,9.807265996932983398e-01,9.565408229827880859e-01,9.592505097389221191e-01,1.023141860961914062e+00,1.004367709159851074e+00,1.009205937385559082e+00,1.032351732254028320e+00,9.199867248535156250e-01,9.515699148178100586e-01,9.274799227714538574e-01,9.698014855384826660e-01,9.990383982658386230e-01,9.951756596565246582e-01,9.538891315460205078e-01,9.611957073211669922e-01,9.773697853088378906e-01,9.497243762016296387e-01,9.844923615455627441e-01,9.638861417770385742e-01,9.964974522590637207e-01,9.793897867202758789e-01,9.603038430213928223e-01,9.853417277336120605e-01,9.897587895393371582e-01,9.970388412475585938e-01,9.188868403434753418e-01,9.732948541641235352e-01,9.384663701057434082e-01
1,9.205353260040283203e-01,5.805166959762573242e-01,6.385865807533264160e-01,9.476795792579650879e-01,8.630327582359313965e-01,8.722228407859802246e-01,8.810823559761047363e-01,8.257745504379272461e-01,8.944175839424133301e-01,9.021664261817932129e-01,9.253557324409484863e-01,8.981368541717529297e-01,8.692703247070312500e-01,8.989293575286865234e-01,8.917499184608459473e-01,9.645091891288757324e-01,9.808202385902404785e-01,1.023337125778198242e+00,9.845510721206665039e-01,9.733541011810302734e-01,9.894073605537414551e-01,9.471265077590942383e-01,9.836316108703613281e-01,9.786659479141235352e-01,1.015671610832214355e+00,9.946113228797912598e-01,1.029675245285034180e+00,9.779066443443298340e-01,1.039358735084533691e+00,9.765272736549377441e-01,9.782643914222717285e-01,9.630438089370727539e-01,1.009531140327453613e+00,1.000083208084106445e+00,9.935547113418579102e-01,9.283480048179626465e-01,9.820441603660583496e-01,9.733090400695800781e-01
2,8.861629366874694824e-01,6.385865807533264160e-01,4.869261085987091064e-01,8.913670182228088379e-01,8.406395912170410156e-01,8.660558462142944336e-01,8.654456138610839844e-01,8.333599567413330078e-01,8.436799645423889160e-01,9.733744859695434570e-01,9.372054934501647949e-01,9.216666221618652344e-01,9.234672784805297852e-01,9.598293304443359375e-01,9.356431961059570312e-01,9.896277785301208496e-01,1.005981087684631348e+00,9.606091976165771484e-01,9.143235087394714355e-01,9.371269345283508301e-01,9.775192737579345703e-01,9.105508923530578613e-01,1.007646679878234863e+00,9.718267321586608887e-01,1.007403135299682617e+00,1.005630016326904297e+00,1.030988574028015137e+00,9.757575988769531250e-01,1.029267787933349609e+00,9.767659902572631836e-01,9.755914211273193359e-01,9.598031640052795410e-01,1.025382399559020996e+00,1.002920627593994141e+00,1.014404773712158203e+00,9.695240259170532227e-01,9.722548127174377441e-01,9.588176608085632324e-01
3,8.425685167312622070e-01,9.476795792579650879e-01,8.913670182228088379e-01,3.555744588375091553e-01,7.837622761726379395e-01,7.775859832763671875e-01,8.725649118423461914e-01,9.381228685379028320e-01,9.281774163246154785e-01,9.972305297851562500e-01,9.682137966156005859e-01,1.011471152305603027e+00,1.001143932342529297e+00,1.032962203025817871e+00,9.803808927536010742e-01,1.050961971282958984e+00,1.095418572425842285e+00,9.372461438179016113e-01,9.503212571144104004e-01,9.729249477386474609e-01,9.104998707771301270e-01,9.540557265281677246e-01,9.675538539886474609e-01,1.038091897964477539e+00,1.014936566352844238e+00,1.044210553169250488e+00,9.933310747146606445e-01,1.040089488029479980e+00,1.041793107986450195e+00,1.069387912750244141e+00,1.026343941688537598e+00,1.003932118415832520e+00,9.817584753036499023e-01,9.579610228538513184e-01,1.024096727371215820e+00,9.726176261901855469e-01,1.000659227371215820e+00,9.610204100608825684e-01
4,8.552561402320861816e-01,8.630327582359313965e-01,8.406395912170410156e-01,7.837622761726379395e-01,2.230133861303329468e-01,8.061978816986083984e-01,9.210767745971679688e-01,8.840380311012268066e-01,8.929494619369506836e-01,9.507499933242797852e-01,9.653496742248535156e-01,9.246956110000610352e-01,9.358844161033630371e-01,9.842625260353088379e-01,9.671912789344787598e-01,1.066216707229614258e+00,1.075798869132995605e+00,9.018924236297607422e-01,8.815947175025939941e-01,9.083440899848937988e-01,9.476228952407836914e-01,8.784214258193969727e-01,9.721865057945251465e-01,1.004579424858093262e+00,1.011323213577270508e+00,1.041681170463562012e+00,9.875974059104919434e-01,1.013589739799499512e+00,1.026677608489990234e+00,1.034487247467041016e+00,1.009349584579467773e+00,9.695721268653869629e-01,1.057897806167602539e+00,1.020177483558654785e+00,1.003176212310791016e+00,1.003651261329650879e+00,9.866515398025512695e-01,9.783917069435119629e-01
5,8.312923908233642578e-01,8.722228407859802246e-01,8.660558462142944336e-01,7.775859832763671875e-01,8.061978816986083984e-01,4.490609765052795410e-01,5.724822282791137695e-01,9.671619534492492676e-01,9.947338700294494629e-01,1.037111282348632812e+00,1.030155301094055176e+00,1.057017087936401367e+00,1.033514499664306641e+00,1.057290196418762207e+00,1.027564764022827148e+00,1.115684390068054199e+00,1.135712742805480957e+00,8.951319456100463867e-01,9.730153679847717285e-01,9.625328779220581055e-01,9.868451356887817383e-01,9.482234120368957520e-01,1.005504250526428223e+00,1.015929341316223145e+00,9.987966418266296387e-01,1.022653102874755859e+00,9.901419281959533691e-01,1.030745267868041992e+00,1.006027579307556152e+00,9.967477321624755859e-01,9.989284276962280273e-01,9.777495265007019043e-01,1.026058197021484375e+00,9.971151947975158691e-01,1.031275272369384766e+00,9.760812520980834961e-01,1.014307737350463867e+00,9.800723195075988770e-01
6,8.554359078407287598e-01,8.810823559761047363e-01,8.654456138610839844e-01,8.725649118423461914e-01,9.210767745971679688e-01,5.724822282791137695e-01,5.277701020240783691e-01,9.743148684501647949e-01,9.978032112121582031e-01,1.021274328231811523e+00,1.041142106056213379e+00,1.045269250869750977e+00,1.009361386299133301e+00,1.045765161514282227e+00,1.016860008239746094e+00,1.065111041069030762e+00,1.082393884658813477e+00,9.385389685630798340e-01,9.793472290039062500e-01,9.778725504875183105e-01,9.759415984153747559e-01,9.636945128440856934e-01,9.888192415237426758e-01,9.982783198356628418e-01,1.012508988380432129e+00,1.015463948249816895e+00,1.000474572181701660e+00,1.014619708061218262e+00,1.010711431503295898e+00,9.999006390571594238e-01,1.002210497856140137e+00,9.922468066215515137e-01,9.928467869758605957e-01,9.729281067848205566e-01,1.000645399093627930e+00,9.603810906410217285e-01,9.811518788337707520e-01,9.643862843513488770e-01
7,9.541408419609069824e-01,8.257745504379272461e-01,8.333599567413330078e-01,9.381228685379028320e-01,8.840380311012268066e-01,9.671619534492492676e-01,9.743148684501647949e-01,5.034949183464050293e-01,6.456683278083801270e-01,6.355921030044555664e-01,7.154079079627990723e-01,6.912830471992492676e-01,7.041316628456115723e-01,6.423480510711669922e-01,6.294752359390258789e-01,1.010251045227050781e+00,1.006293177604675293e+00,9.670231342315673828e-01,9.378657341003417969e-01,9.379706382751464844e-01,9.548504352569580078e-01,9.143825769424438477e-01,1.006548285484313965e+00,1.004114031791687012e+00,9.962436556816101074e-01,1.015781283378601074e+00,1.016002893447875977e+00,1.017905592918395996e+00,1.065099954605102539e+00,1.022508025169372559e+00,1.006930589675903320e+00,9.773296713829040527e-01,1.044420003890991211e+00,1.013299822807312012e+00,1.001661181449890137e+00,1.000279426574707031e+00,9.781737923622131348e-01,9.879840612411499023e-01
8,9.509925842285156250e-01,8.944175839424133301e-01,8.436799645423889160e-01,9.281774163246154785e-01,8.929494619369506836e-01,9.947338700294494629e-01,9.978032112121582031e-01,6.456683278083801270e-01,4.824285805225372314e-01,7.047923803329467773e-01,6.939732432365417480e-01,6.838393211364746094e-01,7.801229953765869141e-01,7.256243228912353516e-01,7.097551822662353516e-01,9.913374185562133789e-01,9.861716628074645996e-01,9.928703308105468750e-01,9.486656188964843750e-01,9.618666172027587891e-01,9.790154099464416504e-01,9.290781021118164062e-01,1.003519535064697266e+00,1.004010319709777832e+00,9.813955426216125488e-01,1.019180417060852051e+00,1.014278769493103027e+00,1.015405535697937012e+00,1.035276651382446289e+00,1.026819705963134766e+00,1.037422180175781250e+00,1.022204995155334473e+00,1.008927702903747559e+00,9.903161525726318359e-01,9.806332588195800781e-01,1.004800319671630859e+00,9.811147451400756836e-01,1.001564979553222656e+00
9,9.893411397933959961e-01,9.021664261817932129e-01,9.733744859695434570e-01,9.972305297851562500e-01,9.507499933242797852e-01,1.037111282348632812e+00,1.021274328231811523e+00,6.355921030044555664e-01,7.047923803329467773e-01,4.912312328815460205e-01,6.617630720138549805e-01,6.675737500190734863e-01,6.121092438697814941e-01,5.903757810592651367e-01,5.700411200523376465e-01,1.035621523857116699e+00,1.013066649436950684e+00,9.909185171127319336e-01,9.505618214607238770e-01,9.449512958526611328e-01,9.613040685653686523e-01,9.238856434822082520e-01,9.698447585105895996e-01,9.809662699699401855e-01,9.733524322509765625e-01,9.776194095611572266e-01,9.999746680259704590e-01,9.883371591567993164e-01,1.026588916778564453e+00,9.827082157135009766e-01,9.717778563499450684e-01,9.428281784057617188e-01,1.015145301818847656e+00,9.951975345611572266e-01,1.005828738212585449e+00,9.850736260414123535e-01,9.605070352554321289e-01,1.015460133552551270e+00
