,0,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,5.01E-01,9.21E-01,8.86E-01,8.43E-01,8.55E-01,9.54E-01,9.51E-01,9.89E-01,9.81E-01,9.57E-01,9.59E-01,1.02E+00,1.00E+00,1.01E+00,1.03E+00,9.20E-01,9.52E-01,9.27E-01,9.70E-01,9.99E-01,9.95E-01,9.54E-01,9.61E-01,9.77E-01,9.50E-01,9.84E-01,9.64E-01,9.96E-01,9.79E-01,9.60E-01,9.85E-01,9.90E-01,9.97E-01,9.19E-01,9.73E-01,9.38E-01
1,9.21E-01,5.81E-01,6.39E-01,9.48E-01,8.63E-01,8.26E-01,8.94E-01,9.02E-01,9.25E-01,8.98E-01,8.69E-01,8.99E-01,8.92E-01,9.65E-01,9.81E-01,1.02E+00,9.85E-01,9.73E-01,9.89E-01,9.47E-01,9.84E-01,9.79E-01,1.02E+00,9.95E-01,1.03E+00,9.78E-01,1.04E+00,9.77E-01,9.78E-01,9.63E-01,1.01E+00,1.00E+00,9.94E-01,9.28E-01,9.82E-01,9.73E-01
2,8.86E-01,6.39E-01,4.87E-01,8.91E-01,8.41E-01,8.33E-01,8.44E-01,9.73E-01,9.37E-01,9.22E-01,9.23E-01,9.60E-01,9.36E-01,9.90E-01,1.01E+00,9.61E-01,9.14E-01,9.37E-01,9.78E-01,9.11E-01,1.01E+00,9.72E-01,1.01E+00,1.01E+00,1.03E+00,9.76E-01,1.03E+00,9.77E-01,9.76E-01,9.60E-01,1.03E+00,1.00E+00,1.01E+00,9.70E-01,9.72E-01,9.59E-01
3,8.43E-01,9.48E-01,8.91E-01,3.56E-01,7.84E-01,9.38E-01,9.28E-01,9.97E-01,9.68E-01,1.01E+00,1.00E+00,1.03E+00,9.80E-01,1.05E+00,1.10E+00,9.37E-01,9.50E-01,9.73E-01,9.10E-01,9.54E-01,9.68E-01,1.04E+00,1.01E+00,1.04E+00,9.93E-01,1.04E+00,1.04E+00,1.07E+00,1.03E+00,1.00E+00,9.82E-01,9.58E-01,1.02E+00,9.73E-01,1.00E+00,9.61E-01
4,8.55E-01,8.63E-01,8.41E-01,7.84E-01,2.23E-01,8.84E-01,8.93E-01,9.51E-01,9.65E-01,9.25E-01,9.36E-01,9.84E-01,9.67E-01,1.07E+00,1.08E+00,9.02E-01,8.82E-01,9.08E-01,9.48E-01,8.78E-01,9.72E-01,1.00E+00,1.01E+00,1.04E+00,9.88E-01,1.01E+00,1.03E+00,1.03E+00,1.01E+00,9.70E-01,1.06E+00,1.02E+00,1.00E+00,1.00E+00,9.87E-01,9.78E-01
7,9.54E-01,8.26E-01,8.33E-01,9.38E-01,8.84E-01,5.03E-01,6.46E-01,6.36E-01,7.15E-01,6.91E-01,7.04E-01,6.42E-01,6.29E-01,1.01E+00,1.01E+00,9.67E-01,9.38E-01,9.38E-01,9.55E-01,9.14E-01,1.01E+00,1.00E+00,9.96E-01,1.02E+00,1.02E+00,1.02E+00,1.07E+00,1.02E+00,1.01E+00,9.77E-01,1.04E+00,1.01E+00,1.00E+00,1.00E+00,9.78E-01,9.88E-01
8,9.51E-01,8.94E-01,8.44E-01,9.28E-01,8.93E-01,6.46E-01,4.82E-01,7.05E-01,6.94E-01,6.84E-01,7.80E-01,7.26E-01,7.10E-01,9.91E-01,9.86E-01,9.93E-01,9.49E-01,9.62E-01,9.79E-01,9.29E-01,1.00E+00,1.00E+00,9.81E-01,1.02E+00,1.01E+00,1.02E+00,1.04E+00,1.03E+00,1.04E+00,1.02E+00,1.01E+00,9.90E-01,9.81E-01,1.00E+00,9.81E-01,1.00E+00
9,9.89E-01,9.02E-01,9.73E-01,9.97E-01,9.51E-01,6.36E-01,7.05E-01,4.91E-01,6.62E-01,6.68E-01,6.12E-01,5.90E-01,5.70E-01,1.04E+00,1.01E+00,9.91E-01,9.51E-01,9.45E-01,9.61E-01,9.24E-01,9.70E-01,9.81E-01,9.73E-01,9.78E-01,1.00E+00,9.88E-01,1.03E+00,9.83E-01,9.72E-01,9.43E-01,1.02E+00,9.95E-01,1.01E+00,9.85E-01,9.61E-01,1.02E+00
10,9.81E-01,9.25E-01,9.37E-01,9.68E-01,9.65E-01,7.15E-01,6.94E-01,6.62E-01,4.93E-01,7.29E-01,7.29E-01,7.07E-01,6.88E-01,1.05E+00,1.03E+00,9.90E-01,9.68E-01,9.74E-01,9.68E-01,9.26E-01,9.95E-01,9.85E-01,9.88E-01,1.01E+00,1.03E+00,1.01E+00,1.04E+00,1.02E+00,1.01E+00,9.73E-01,1.02E+00,9.89E-01,9.64E-01,9.48E-01,9.59E-01,9.94E-01
11,9.57E-01,8.98E-01,9.22E-01,1.01E+00,9.25E-01,6.91E-01,6.84E-01,6.68E-01,7.29E-01,4.94E-01,6.63E-01,6.05E-01,6.43E-01,1.02E+00,9.93E-01,9.76E-01,9.70E-01,9.34E-01,9.81E-01,9.03E-01,9.95E-01,9.70E-01,9.68E-01,9.81E-01,1.01E+00,9.86E-01,1.00E+00,9.76E-01,9.53E-01,9.54E-01,1.03E+00,1.01E+00,9.96E-01,9.80E-01,9.82E-01,9.70E-01
12,9.59E-01,8.69E-01,9.23E-01,1.00E+00,9.36E-01,7.04E-01,7.80E-01,6.12E-01,7.29E-01,6.63E-01,5.17E-01,6.32E-01,6.02E-01,1.00E+00,9.99E-01,9.57E-01,9.34E-01,9.54E-01,9.62E-01,9.16E-01,9.90E-01,9.72E-01,9.92E-01,1.00E+00,1.03E+00,9.91E-01,1.05E+00,9.74E-01,9.63E-01,9.33E-01,1.05E+00,1.03E+00,1.04E+00,1.00E+00,1.00E+00,1.00E+00
13,1.02E+00,8.99E-01,9.60E-01,1.03E+00,9.84E-01,6.42E-01,7.26E-01,5.90E-01,7.07E-01,6.05E-01,6.32E-01,4.93E-01,5.81E-01,1.01E+00,9.86E-01,1.00E+00,9.64E-01,9.49E-01,9.75E-01,9.39E-01,9.84E-01,9.71E-01,9.69E-01,9.48E-01,1.00E+00,9.73E-01,1.02E+00,9.60E-01,9.73E-01,9.34E-01,1.01E+00,1.00E+00,9.57E-01,9.47E-01,9.68E-01,9.60E-01
14,1.00E+00,8.92E-01,9.36E-01,9.80E-01,9.67E-01,6.29E-01,7.10E-01,5.70E-01,6.88E-01,6.43E-01,6.02E-01,5.81E-01,5.43E-01,1.01E+00,1.00E+00,9.89E-01,9.80E-01,9.75E-01,9.78E-01,9.36E-01,9.94E-01,9.85E-01,9.87E-01,9.90E-01,1.01E+00,1.00E+00,1.05E+00,9.85E-01,9.72E-01,9.34E-01,1.03E+00,1.00E+00,9.85E-01,9.92E-01,9.61E-01,1.03E+00
