ml.names,PACA1,PACA2,PACA3,PACA4,PACA5,PACA6
Gambusia affinis,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis microlophus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis gibbosus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis megalotis,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis auritus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis macrochirus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis humilis,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis cyanellus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Lepomis gulosus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Morone mississippiensis,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Morone chrysops,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Esox americanus,-0.167779149,-0.143674167,-0.151585468,0.00331328,0.004249074,-0.001680366
Notropis blennius,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis texanus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis nubilus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis boops,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis stramineus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis dorsalis,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis percobromus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis atherinoides,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis wickliffi,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis buchanani,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis volucellus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis leuciodus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis telescopus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis buccatus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Notropis hudsonius,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Phenacobius mirabilis,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Carassius auratus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Cyprinus carpio,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Noturus miurus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Noturus flavus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Noturus gyrinus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Noturus nocturnus,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Noturus exilis,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
Alosa chrysochloris,-0.110639343,-0.149182107,-0.154237166,0.01193144,0.028426111,-0.00157892
