ml.names,PC2,PC3,PC4,PC5,PC6,PC7
Esox americanus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Gambusia affinis,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis auritus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis cyanellus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis gibbosus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis gulosus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis humilis,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis macrochirus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis megalotis,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Lepomis microlophus,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Morone chrysops,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Morone mississippiensis,-0.00084744,-0.012524768,-0.004729338,-0.006220063,0.002728142,-0.002135784
Alosa chrysochloris,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Carassius auratus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Cyprinus carpio,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis atherinoides,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis blennius,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis boops,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis buccatus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis buchanani,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis dorsalis,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis hudsonius,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis leuciodus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis nubilus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis percobromus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis stramineus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis telescopus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis texanus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis volucellus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Notropis wickliffi,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Noturus exilis,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Noturus flavus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Noturus gyrinus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Noturus miurus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Noturus nocturnus,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
Phenacobius mirabilis,0.00084744,0.012524768,0.004729338,0.006220063,-0.002728142,0.002135784
